sno,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
305,assam,2018,2,Recharge & bill payments,984160,174427478.2
306,assam,2018,2,Peer-to-peer payments,530781,2064314053
307,assam,2018,2,Merchant payments,79307,73366344.81
308,assam,2018,2,Financial Services,22773,7051504.658
309,assam,2018,2,Others,46852,31425754.73
310,assam,2018,3,Recharge & bill payments,1275136,254569069.3
311,assam,2018,3,Peer-to-peer payments,843571,3424136710
312,assam,2018,3,Merchant payments,159532,96783839.37
313,assam,2018,3,Financial Services,22677,4741123.822
314,assam,2018,3,Others,50935,30904247.88
315,assam,2018,4,Recharge & bill payments,1703488,317661277.3
316,assam,2018,4,Peer-to-peer payments,1279089,5284776455
317,assam,2018,4,Merchant payments,667293,240563395.3
318,assam,2018,4,Financial Services,28035,6331912.527
319,assam,2018,4,Others,56267,38689818.79
320,assam,2019,1,Recharge & bill payments,1993220,400281677.9
321,assam,2019,1,Peer-to-peer payments,1976310,7291433301
322,assam,2019,1,Merchant payments,494871,266644645.7
323,assam,2019,1,Financial Services,20162,4612454.113
324,assam,2019,1,Others,48442,39127457.94
325,assam,2019,2,Recharge & bill payments,2512932,539315772.9
326,assam,2019,2,Peer-to-peer payments,2293770,10035232821
327,assam,2019,2,Merchant payments,573646,326844709.6
328,assam,2019,2,Financial Services,13654,4037222.414
329,assam,2019,2,Others,60927,49538663.41
330,assam,2019,3,Peer-to-peer payments,2713539,11835800855
331,assam,2019,3,Recharge & bill payments,2645302,639885372.7
332,assam,2019,3,Merchant payments,513728,421380275.4
333,assam,2019,3,Financial Services,8606,6403456.345
334,assam,2019,3,Others,61396,46973660.74
335,assam,2019,4,Peer-to-peer payments,3222143,14083346879
336,assam,2019,4,Recharge & bill payments,2937800,704118874
337,assam,2019,4,Merchant payments,544053,456318130.1
338,assam,2019,4,Financial Services,9621,3492255.086
339,assam,2019,4,Others,46893,34707757.01
340,assam,2020,1,Peer-to-peer payments,4058740,18977446152
341,assam,2020,1,Recharge & bill payments,3897975,971722606.2
342,assam,2020,1,Merchant payments,792646,675423853
343,assam,2020,1,Financial Services,10173,7054325.508
344,assam,2020,1,Others,49326,36781411.34
345,assam,2020,2,Recharge & bill payments,6045321,1612522829
346,assam,2020,2,Peer-to-peer payments,3648386,17358374071
347,assam,2020,2,Merchant payments,742400,749018053.2
348,assam,2020,2,Financial Services,19814,18130004.69
349,assam,2020,2,Others,49278,28255168.01
350,assam,2020,3,Peer-to-peer payments,5637893,26646565777
351,assam,2020,3,Recharge & bill payments,5292154,1627282416
352,assam,2020,3,Merchant payments,1383230,1492484153
353,assam,2020,3,Financial Services,24954,28452966.03
354,assam,2020,3,Others,59480,36605946.75
355,assam,2020,4,Peer-to-peer payments,7538478,36013292451
356,assam,2020,4,Recharge & bill payments,5383505,1662189124
357,assam,2020,4,Merchant payments,2392184,2466913306
358,assam,2020,4,Financial Services,29764,32314809.98
359,assam,2020,4,Others,79523,51901628.47
360,assam,2021,1,Peer-to-peer payments,9449096,45476079487
361,assam,2021,1,Recharge & bill payments,6494111,2103017762
362,assam,2021,1,Merchant payments,3459132,3657261586
363,assam,2021,1,Financial Services,34049,41291047.38
364,assam,2021,1,Others,75672,48814663.89
365,assam,2021,2,Peer-to-peer payments,11668399,51521387891
366,assam,2021,2,Recharge & bill payments,9058005,2657676415
367,assam,2021,2,Merchant payments,4562669,4914753140
368,assam,2021,2,Financial Services,49671,46106001.5
369,assam,2021,2,Others,94161,52549929.27
370,assam,2021,3,Peer-to-peer payments,15617592,64131823895
371,assam,2021,3,Recharge & bill payments,10284267,3248364164
